Time (hr),Loss AC (kW),Load AC (kW),Net Meter AC (kW),Solar AC (kW),Battery AC (kW),Battery SOC AC,Loss DC (kW),Load DC (kW),Net Meter DC (kW),Solar DC (kW),Battery DC (kW),Battery SOC DC
8215.0,14.14108984375,106.3606875,-87.5307734375,31.806208984375,0.0,0.00013527159171644598,5.93197021484375,106.3606875,-79.4525859375,31.806208984375,0.0,0.00013527159171644598
8216.0,16.826763671875,96.1170703125,18.9548046875,131.217578125,0.0,0.000135136375320144,5.96496728515625,96.1170703125,29.7892890625,131.217578125,0.0,0.000135136375320144
8217.0,18.36878125,85.3650234375,88.94409375,191.784453125,0.0,0.00013500131899490952,7.83608935546875,85.3650234375,99.242578125,191.784453125,0.0,0.00013500131899490952
8218.0,21.33951953125,82.334875,165.678,267.802,0.0,0.00013486637908499688,10.435837890625,82.334875,175.863890625,267.802,0.0,0.00013486637908499688
8219.0,22.529267578125,85.8463203125,178.03278125,284.657125,0.0,0.00013473158469423652,11.0626494140625,85.8463203125,188.6713125,284.657125,0.0,0.00013473158469423652
8220.0,21.7226953125,82.6123046875,173.05096875,275.7561875,0.0,0.0001345969212707132,10.74693359375,82.6123046875,183.259078125,275.7561875,0.0,0.0001345969212707132
8221.0,20.13245703125,74.4840546875,173.777859375,266.91375,0.0,0.00013446238881442696,10.4851708984375,74.4840546875,182.70784375,266.91375,0.0,0.00013446238881442696
8222.0,15.6922236328125,49.59343359375,142.704140625,207.06775,0.0,0.00013432798732537776,7.87542919921875,49.59343359375,149.988546875,207.06775,0.0,0.00013432798732537776
8223.0,12.9018017578125,50.66839453125,60.01778125,123.1924140625,0.0,0.00013419373135548085,5.6808037109375,50.66839453125,67.075984375,123.1924140625,0.0,0.00013419373135548085
8224.0,11.095880859375,64.85400390625,-46.50130859375,29.213966796875,0.0,0.000134059606352821,4.62590625,64.85400390625,-39.83593359375,29.213966796875,0.0,0.000134059606352821
8225.0,9.9916083984375,85.9351484375,-95.3318984375,0.0,0.0,0.0001339256123173982,6.23250341796875,85.9351484375,-90.307421875,0.0,0.0,0.0001339256123173982
8226.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013379174924921244,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013379174924921244
8227.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013365803170017898,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013365803170017898
8228.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.00013352443056646734,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.00013352443056646734
