Time (hr),Loss AC (kW),Load AC (kW),Net Meter AC (kW),Solar AC (kW),Battery AC (kW),Battery SOC AC,Loss DC (kW),Load DC (kW),Net Meter DC (kW),Solar DC (kW),Battery DC (kW),Battery SOC DC
5562.0,4.4499580078125,26.5967890625,-31.030466796875,0.0,0.0,0.0019203866831958294,2.536990478515625,26.5967890625,-29.023630859375,0.0,0.0,0.0019203866831958294
5563.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.0019184673437848687,4.4797509765625,33.5753515625,-36.62182421875,0.0,0.0,0.0019184673437848687
5564.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.0019165497506037354,4.4797509765625,33.5753515625,-36.62182421875,0.0,0.0,0.0019165497506037354
5565.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.0019146341364830732,4.4797509765625,33.5753515625,-36.62182421875,0.0,0.0,0.0019146341364830732
5566.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.001912720501422882,4.4797509765625,33.5753515625,-36.62182421875,0.0,0.0,0.001912720501422882
5567.0,4.67583642578125,33.68083203125,-38.31870703125,0.0,0.0,0.0019108087290078402,4.483888671875,33.68083203125,-36.730796875,0.0,0.0,0.0019108087290078402
5568.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0019088989356532693,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0019088989356532693
5569.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0019069910049438477,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0019069910049438477
5570.0,4.95988671875,38.93618359375,-43.8508984375,0.0,0.0,0.0019050849368795753,4.6637001953125,38.93618359375,-42.12840625,0.0,0.0,0.0019050849368795753
5571.0,4.9650107421875,38.99883203125,-43.9185859375,0.0,0.0,0.001903180731460452,4.671462890625,38.99883203125,-42.19437109375,0.0,0.0,0.001903180731460452
5572.0,5.30028955078125,42.3144453125,-47.57059375,0.0,0.0,0.0019012785051018,4.73575146484375,42.3144453125,-45.639953125,0.0,0.0,0.0019012785051018
5573.0,9.9093037109375,80.130234375,-89.6375703125,0.0,0.0,0.001899378257803619,4.410791015625,80.130234375,-83.8799765625,0.0,0.0,0.001899378257803619
5574.0,11.2107705078125,88.5993125,-99.558484375,0.0,0.0,0.0018974797567352653,4.794197265625,88.5993125,-92.958890625,0.0,0.0,0.0018974797567352653
5575.0,16.8604765625,140.703765625,-157.320015625,0.0,0.0,0.0018955832347273827,9.975703125,140.703765625,-149.23646875,0.0,0.0,0.0018955832347273827
5576.0,14.59547265625,128.8360859375,-143.24171875,0.0,0.0,0.0018936885753646493,9.0958369140625,128.8360859375,-136.708453125,0.0,0.0,0.0018936885753646493
5577.0,13.9979951171875,125.139296875,-138.956953125,0.0,0.0,0.001891795895062387,8.89023046875,125.139296875,-132.844890625,0.0,0.0,0.001891795895062387
5578.0,14.1372041015625,126.1152890625,-140.065046875,0.0,0.0,0.001889905077405274,9.025591796875,126.1152890625,-133.914109375,0.0,0.0,0.001889905077405274
5579.0,14.114669921875,126.2673984375,-140.195390625,0.0,0.0,0.00188801612239331,9.002185546875,126.2673984375,-134.053375,0.0,0.0,0.00188801612239331
5580.0,14.4774267578125,131.609859375,-145.86034375,0.0,0.0,0.0018861290300264955,9.304154296875,131.609859375,-139.626171875,0.0,0.0,0.0018861290300264955
5581.0,14.0172392578125,130.5209453125,-144.306078125,0.0,0.0,0.00188424380030483,9.0823251953125,130.5209453125,-138.38165625,0.0,0.0,0.00188424380030483
