"PVWatts: Hourly PV Performance Data"
"Requested Location:","san francisco"
"Location:","SAN FRANCISCO INTL AP, CA"
"Lat (deg N):","37.62"
"Long (deg W):","122.4"
"Elev (m):","2"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","37.8"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","11","10","260","179","10.2","2.1","435.789","20.607","382.029","367.106"
"2","11","11","464","214","12","2.1","717.502","30.507","600.925","578.398"
"2","11","12","646","164","13.9","2.1","861.498","36.8","699.717","673.223"
"2","11","13","698","133","14.8","3.1","846.723","35.125","693.204","666.982"
"2","11","14","649","116","15.8","4.2","708.283","31.199","589.803","567.702"
"2","11","15","558","98","16.7","5.2","514.549","26.367","434.431","417.836"
"2","11","16","337","67","15.2","5.5","248.85","19.313","210.405","200.301"
"2","11","17","28","23","13.7","5.9","33.761","13.402","29.165","23.06"
"2","11","18","0","0","12.2","6.2","0","12.2","0","0"
"2","11","19","0","0","11.8","5.5","0","11.8","0","0"
"2","11","20","0","0","11.5","4.8","0","11.5","0","0"
"2","11","21","0","0","11.1","4.1","0","11.1","0","0"
"2","11","22","0","0","10.9","4.3","0","10.9","0","0"
"2","11","23","0","0","10.8","4.4","0","10.8","0","0"
"2","12","0","0","0","10.6","4.6","0","10.6","0","0"
"2","12","1","0","0","10.6","3.8","0","10.6","0","0"
"2","12","2","0","0","10.6","2.9","0","10.6","0","0"
"2","12","3","0","0","10.6","2.1","0","10.6","0","0"
"2","12","4","0","0","10.2","2.3","0","10.2","0","0"
"2","12","5","0","0","9.8","2.4","0","9.8","0","0"
"2","12","6","0","0","9.4","2.6","0","9.4","0","0"
"2","12","7","6","16","9.6","1.7","15.897","7.965","14.462","8.633"
"2","12","8","10","77","9.8","0.9","75.178","9.795","69.035","62.146"
"2","12","9","11","201","10","0","205.203","16.607","183.352","173.916"
"2","12","10","86","259","10.7","0.7","347.873","21.516","303.911","291.305"
"2","12","11","584","159","11.5","1.4","778.204","33.479","642.397","618.245"
"2","12","12","637","170","12.2","2.1","859.977","35.323","703.621","676.964"
"2","12","13","658","141","13.3","3.1","818.988","33.046","677.395","651.827"
"2","12","14","645","108","14.5","4.2","695.858","29.582","583.995","562.114"
"2","12","15","676","61","15.6","5.2","548.358","25.882","463.309","445.752"
"2","12","16","419","55","14.3","5.7","277.881","18.878","234.262","223.548"
"2","12","17","86","19","13","6.2","53.376","13.072","43.992","37.603"
"2","12","18","0","0","11.7","6.7","0","11.7","0","0"
"2","12","19","0","0","11.3","5.5","0","11.3","0","0"
"2","12","20","0","0","11","4.3","0","11","0","0"
"2","12","21","0","0","10.6","3.1","0","10.6","0","0"
"2","12","22","0","0","10.4","2.6","0","10.4","0","0"
"2","12","23","0","0","10.2","2","0","10.2","0","0"
"2","13","0","0","0","10","1.5","0","10","0","0"
"2","13","1","0","0","9.6","1","0","9.6","0","0"
"2","13","2","0","0","9.3","0.5","0","9.3","0","0"
"2","13","3","0","0","8.9","0","0","8.9","0","0"
"2","13","4","0","0","8.7","0.3","0","8.7","0","0"
"2","13","5","0","0","8.5","0.7","0","8.5","0","0"
"2","13","6","0","0","8.3","1","0","8.3","0","0"
"2","13","7","13","26","8.9","0.7","28.942","7.397","26.287","20.237"
"2","13","8","93","85","9.4","0.3","139.798","12.17","125.291","117.204"
"2","13","9","6","145","10","0","139.04","14.536","125.41","117.321"
"2","13","10","115","228","11.9","0.9","350.976","21.88","306.058","293.392"
"2","13","11","300","266","13.7","1.7","602.114","29.873","505.864","486.84"
"2","13","12","515","214","15.6","2.6","782.274","34.859","641.524","617.407"
"2","13","13","196","239","16.7","3.6","448.4","27.078","381.768","366.853"
"2","13","14","376","206","17.8","4.7","558.117","28.523","471.132","453.311"
"2","13","15","276","147","18.9","5.7","359.619","25.029","306.651","293.967"
"2","13","16","95","81","17.8","5.3","133.44","19.625","115.044","107.184"
"2","13","17","16","22","16.7","5","25.375","16.09","21.91","15.942"
"2","13","18","0","0","15.6","4.6","0","15.6","0","0"
"2","13","19","0","0","14.3","4.3","0","14.3","0","0"
"2","13","20","0","0","13","3.9","0","13","0","0"
"2","13","21","0","0","11.7","3.6","0","11.7","0","0"
"2","13","22","0","0","11.1","3.6","0","11.1","0","0"
"2","13","23","0","0","10.6","3.6","0","10.6","0","0"
"2","14","0","0","0","10","3.6","0","10","0","0"
"2","14","1","0","0","9.6","2.9","0","9.6","0","0"
"2","14","2","0","0","9.3","2.2","0","9.3","0","0"
"2","14","3","0","0","8.9","1.5","0","8.9","0","0"
"2","14","4","0","0","8.7","1.3","0","8.7","0","0"
"2","14","5","0","0","8.5","1.2","0","8.5","0","0"
"2","14","6","0","0","8.3","1","0","8.3","0","0"
"2","14","7","164","26","10.5","1.2","89.08","11.042","73.372","66.395"
"2","14","8","531","55","12.8","1.3","355.963","21.866","298.741","286.281"
"2","14","9","740","77","15","1.5","640.37","32.748","525.509","505.786"
"2","14","10","809","92","17.4","1.5","833.82","41.26","660.974","636.076"
"2","14","11","855","101","19.8","1.5","965.772","47.604","742.091","713.794"
"2","14","12","859","103","22.2","1.5","995.714","51.039","751.433","722.731"
"2","14","13","844","99","20.9","3.1","940.854","43.413","738.767","710.614"
"2","14","14","806","89","19.6","4.6","805.612","36.33","654.096","629.475"
"2","14","15","713","72","18.3","6.2","587.474","28.332","490.789","472.291"
"2","14","16","521","51","17.6","6","321.18","22.872","264.882","253.356"
"2","14","17","113","21","16.8","5.9","62.933","17.16","50.285","43.772"
"2","14","18","0","0","16.1","5.7","0","16.1","0","0"
"2","14","19","0","0","14.3","5.5","0","14.3","0","0"
"2","14","20","0","0","12.4","5.4","0","12.4","0","0"
"2","14","21","0","0","10.6","5.2","0","10.6","0","0"
"2","14","22","0","0","10","4.3","0","10","0","0"
"2","14","23","0","0","9.5","3.5","0","9.5","0","0"
"2","15","0","0","0","8.9","2.6","0","8.9","0","0"
"2","15","1","0","0","8.7","1.7","0","8.7","0","0"
"2","15","2","0","0","8.5","0.9","0","8.5","0","0"
"2","15","3","0","0","8.3","0","0","8.3","0","0"
"2","15","4","0","0","8.7","0.7","0","8.7","0","0"
"2","15","5","0","0","9","1.4","0","9","0","0"
"2","15","6","0","0","9.4","2.1","0","9.4","0","0"
"2","15","7","243","25","11.1","2.6","112.99","12.313","90.74","83.402"
"2","15","8","459","70","12.7","3.1","336.211","19.374","286.424","274.309"
"2","15","9","621","112","14.4","3.6","599.116","27.167","505.584","486.57"
"2","15","10","745","99","16.1","3.3","787.185","34.053","646.943","622.61"
"2","15","11","768","98","17.7","2.9","879.232","38.925","706.438","679.663"
"2","15","12","851","66","19.4","2.6","932.095","42.744","734.673","706.696"
"2","15","13","827","88","20.3","2.4","902.156","43.597","707.714","680.885"
"2","15","14","808","61","21.3","2.3","765.312","41.496","605.367","582.669"
"2","15","15","705","60","22.2","2.1","567.848","37.633","453.216","435.999"
"2","15","16","565","39","20.7","1.9","325.801","29.69","259.235","247.862"
"2","15","17","219","19","19.3","1.7","90.905","21.193","68.437","61.561"
"2","15","18","0","0","17.8","1.5","0","17.8","0","0"
