Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/03  24:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/04  01:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/04  02:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970771.66445195,0.0,3970771.66445195 
 01/04  03:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/04  04:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970760.30255961,0.0,3970760.30255961 
 01/04  05:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/04  06:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,3971188.11833083,0.0,3971188.11833083 
 01/04  07:00:00,481917880.130233,320092097.420123,0.0,19298995.2844214,53294400.,77195981.1376857,12006021.9491793,30384.3388235294,72000.,0.0,72000. 
 01/04  08:00:00,466995011.076186,252759976.258772,0.0,57896985.8532643,26647200.,117654442.676147,12006021.9491793,30384.3388235294,11028562.1368045,7055673.00495798,3972889.13184651 
 01/04  09:00:00,566127316.908976,126714564.334277,0.0,173690957.559793,0.0,253451924.59276,12239486.0833224,30384.3388235294,7878573.75085983,0.0,7878573.75085983 
 01/04  10:00:00,508783378.528058,99658947.230359,0.0,173690957.559793,0.0,223397067.449903,12006021.9491793,30384.3388235294,7879169.89874563,0.0,7879169.89874563 
 01/04  11:00:00,471129309.84481,68940614.8108474,0.0,173690957.559793,0.0,216461331.186166,12006021.9491793,30384.3388235294,7880795.84493877,0.0,7880795.84493877 
